fantasyPlayerId,name,team,position,matchId,rating,minutesPlayed,goals,assists,yellowCard,redCard,cleanSheet,goalsConceded,penaltyWon,penaltyScored,penaltyMissed,penaltyCommitted,penaltySaved,longBalls,totalClearances,blockedShots,interceptions,wonTackles,duelsWon,duelsTotal,wasFouled,passesCompleted,passesTotal,keyPass,dispossessed,offsides,dribblesWon,dribblesTotal,savedShotsInside,savedShotsOutside,runsOut,punches
88860,Patrik Schick,Czechia,F,15186732,6.5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,4,0,0,0,0,0,0,0,0,0
89018,Rúben Neves,Portugal,M,15186696,6.7,45,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,17,0,0,0,0,0,0,0,0,0
89180,Morten Thorsby,Norway,M,15186537,6.3,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,0,18,18,0,2,0,0,0,0,0,0,0
89094,Jhon Córdoba,Colombia,F,15186696,6.3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,7,10,0,0,1,0,0,0,0,0,0
88916,Alexander Schlager,Austria,G,15186747,6.3,90,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,21,25,0,0,0,0,0,1,1,0,0
88759,Nico Elvedi,Switzerland,D,15186821,7,90,0,0,0,0,0,1,0,0,0,0,0,0,13,1,0,0,3,3,0,58,66,0,0,0,0,0,0,0,0,0
88705,Ivan Šunjić,Bosnia & Herzegovina,M,15186829,6.8,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,5,0,31,36,2,0,0,0,1,0,0,0,0
88051,Steven Moreira,Cabo Verde,D,15186803,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
89008,Bruno Fernandes,Portugal,M,15186696,7.4,90,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,4,4,2,39,44,1,0,0,0,0,0,0,0,0
88555,Leroy Sané,Germany,M,15186907,7.1,90,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,4,12,1,41,49,1,1,0,0,5,0,0,0,0
88333,Rami Rabia,Egypt,D,15186828,7.4,90,0,0,0,0,0,1,0,0,0,0,0,1,6,1,0,0,3,9,0,81,84,0,0,0,0,0,0,0,0,0
88326,Mahmoud Trézéguet,Egypt,M,15186828,6.6,90,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,7,14,2,34,42,1,3,0,4,5,0,0,0,0
88584,Joshua Brenet,Curaçao,D,15186908,6.2,89,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,2,6,7,1,18,22,0,0,1,1,2,0,0,0,0
88789,Karim Boudiaf,Qatar,M,15186829,6.8,72,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,4,1,45,48,1,0,0,0,0,0,0,0,0
88522,Jean Michaël Seri,Côte d'Ivoire,M,15186908,6.8,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,16,17,0,0,0,0,0,0,0,0,0
88050,Vozinha,Cabo Verde,G,15186803,7.4,90,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,27,34,0,0,0,0,0,3,0,0,0
88025,Guillermo Varela,Uruguay,D,15186841,6.5,90,0,0,1,0,0,1,0,0,0,0,0,1,3,0,2,0,2,3,1,17,21,0,0,0,0,0,0,0,0,0
88229,Thomas Partey,Ghana,M,15186624,6.6,90,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,5,2,69,75,0,0,0,0,0,0,0,0,0
89015,Rúben Dias,Portugal,D,15186696,7.4,90,0,0,0,0,1,0,0,0,0,0,0,1,7,1,2,0,4,7,0,50,54,0,0,0,1,2,0,0,0,0
88453,Ken Sema,Sweden,M,15186972,6.7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,3,0,0,0,0,1,0,0,0,0
88650,Ryan Christie,Scotland,M,15186861,6.6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,3,0,1,0,0,0,0,0,0,0
88697,Nikola Vasilj,Bosnia & Herzegovina,G,15186829,6.9,90,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,32,41,0,0,0,0,0,1,1,0,0
88283,Timothy Castagne,Belgium,D,15186822,6.7,90,0,0,0,0,0,1,0,0,0,0,0,4,4,0,4,0,1,3,0,40,43,0,1,0,0,0,0,0,0,0
88275,Youri Tielemans,Belgium,M,15186822,6.9,85,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,6,3,52,55,0,0,0,0,0,0,0,0,0
88315,Alireza Jahanbakhsh,Iran,M,15186828,6.9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88119,Junior Alonso,Paraguay,D,15186891,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0
88335,Yasser Ibrahim,Egypt,D,15186828,7.7,76,0,0,1,0,1,0,0,0,0,0,0,0,7,2,0,3,9,18,1,53,59,0,0,0,0,0,0,0,0,0
88367,Ryan Thomas,New Zealand,M,15186822,6.6,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,10,13,0,1,0,0,0,0,0,0,0
89063,Igor Sergeev,Uzbekistan,F,15186717,6.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
89038,Théo Bongonda,DR Congo,M,15186717,6.5,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5,0,4,6,0,1,0,1,3,0,0,0,0
88753,Cédric Itten,Switzerland,F,15186821,6.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
88748,Breel Embolo,Switzerland,F,15186821,7.5,85,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,8,12,4,11,14,1,0,0,2,2,0,0,0,0
87973,Marcos Llorente,Spain,D,15186841,7.3,90,0,1,0,0,1,0,0,0,0,0,0,1,4,0,1,3,5,9,0,47,50,1,0,0,1,1,0,0,0,0
89040,Joris Kayembe,DR Congo,D,15186717,6.7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0
89166,Patrick Berg,Norway,M,15186537,6.3,90,0,0,1,0,0,0,0,0,0,0,0,3,2,1,1,0,0,4,0,48,56,1,1,0,0,0,0,0,0,0
88915,Stefan Posch,Austria,D,15186747,5.7,90,0,0,0,0,0,3,0,0,0,0,0,1,3,0,4,0,5,10,1,23,32,0,0,0,0,1,0,0,0,0
88908,Konrad Laimer,Austria,D,15186747,6.5,90,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,2,3,6,0,16,21,1,2,1,1,1,0,0,0,0
89096,Jefferson Lerma,Colombia,M,15186696,6.8,60,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,38,42,0,0,0,0,0,0,0,0,0
88204,Nikola Vlašić,Croatia,M,15186624,7.2,88,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,7,0,20,21,0,0,0,0,0,0,0,0,0
88655,Scott McKenna,Scotland,D,15186861,5.9,90,0,0,0,0,0,3,0,0,0,0,0,1,2,3,0,0,0,0,0,49,53,0,0,0,0,0,0,0,0,0
89064,Rustam Ashurmatov,Uzbekistan,D,15186717,6.5,90,0,0,0,0,0,3,0,0,0,0,0,1,9,0,4,0,8,10,0,27,34,0,0,0,1,1,0,0,0,0
89081,Dostonbek Khamdamov,Uzbekistan,M,15186717,6.5,59,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,10,0,18,20,0,0,1,0,1,0,0,0,0
89066,Otabek Shukurov,Uzbekistan,M,15186717,6.7,59,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,3,1,21,25,0,0,0,0,0,0,0,0,0
88510,Franck Kessié,Côte d'Ivoire,M,15186908,6.3,77,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,3,0,38,51,1,0,0,0,0,0,0,0,0
88613,Sofyan Amrabat,Morocco,M,15186864,7,90,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,1,3,7,1,64,69,0,1,0,0,1,0,0,0,0
88303,Saeid Ezatolahi,Iran,M,15186828,7.3,90,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,2,12,18,4,27,35,0,0,0,0,0,0,0,0,0
88441,Carl Starfelt,Sweden,D,15186972,6.7,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,11,11,0,0,0,0,0,0,0,0,0
88588,Yassine Bounou,Morocco,G,15186864,5.7,90,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,16,20,0,0,0,0,0,0,1,1,0
89151,Rebin Sulaka,Iraq,D,15186771,3,13,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,8,10,0,0,0,0,0,0,0,0,0
88245,Derrick Luckassen,Ghana,D,15186624,7.3,90,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,5,6,1,71,82,1,0,0,0,0,0,0,0,0
88657,Kieran Tierney,Scotland,D,15186861,7,45,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,4,1,23,27,3,1,0,0,0,0,0,0,0
88973,Nabil Bentaleb,Algeria,M,15186747,7.2,90,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,4,6,0,113,119,2,0,0,0,0,0,0,0,0
88760,Manuel Akanji,Switzerland,D,15186821,7,90,0,0,0,0,0,1,0,0,0,0,0,5,5,0,0,2,3,4,0,65,72,0,0,0,1,1,0,0,0,0
