name,short_name,position,team,price,total_score,average_score,owned_percentage,form
Fabinho,Fabinho,M,Brazil,5.5,1,1,1,0.5
Seko Fofana,S. Fofana,M,Côte d'Ivoire,5.5,1,0.5,0.7,0.5
Nicolás Tagliafico,N. Tagliafico,D,Argentina,5,1,1,0.5,0.5
Diego Gómez,D. Gómez,M,Paraguay,6,1,0.5,1,0.5
Charles Pickel,C. Pickel,M,DR Congo,4.5,1,0.5,0,0.5
Tim Weah,T. Weah,M,USA,5.5,1,1,0.7,0.5
Carney Chukwuemeka,C. Chukwuemeka,M,Austria,5,1,0.5,0.2,0.5
Gonzalo Montiel,G. Montiel,D,Argentina,5,1,1,0.3,0.5
Miguel Almirón,M. Almirón,M,Paraguay,6,1,0.5,1,0.5
Ramón Sosa,R. Sosa,F,Paraguay,5,1,1,0.2,0.5
Jaouen Hadjam,J. Hadjam,D,Algeria,4.5,1,1,0.1,0.5
Kamaldeen Sulemana,K. Sulemana,F,Ghana,5,1,1,0.2,0.5
Maghnes Akliouche,M. Akliouche,M,France,5,1,1,0.3,0.5
Ramiz Zerrouki,R. Zerrouki,M,Algeria,6,1,0.5,0.9,0.5
Ismail Jakobs,I. Jakobs,D,Senegal,4.5,1,1,0.2,0.5
Teun Koopmeiners,T. Koopmeiners,M,Netherlands,6,1,0.5,1.1,0.5
Ibrahim Adel,I. Adel,M,Egypt,4.5,1,1,0.1,0.5
Alexis Saelemaekers,A. Saelemaekers,M,Belgium,6.5,1,1,0.2,0.5
Anass Salah-Eddine,A. Salah-Eddine,D,Morocco,5,1,1,0.1,0.5
Elias Achouri,E. Achouri,M,Tunisia,5,1,0.5,0.1,0.5
Sebastian Tounekti,S. Tounekti,M,Tunisia,4.5,1,0.5,0.1,0.5
Luka Sučić,L. Sučić,M,Croatia,5,1,1,0.3,0.5
Obed Vargas,O. Vargas,M,Mexico,5.5,1,1,0.6,0.5
Ayoube Amaimouni Echghouyab,A. Amaimouni Echghouyab,F,Morocco,5,1,0.5,0.1,0.5
Oston Urunov,O. Urunov,M,Uzbekistan,4,1,1,0.2,0.5
Andrés Gómez,A. Gómez,M,Colombia,4.5,1,1,0.1,0.5
Dodi Lukebakio,D. Lukebakio,M,Belgium,6,1,1,1.1,0.5
César Huerta,C. Huerta,M,Mexico,4.5,1,1,0.1,0.5
Nilson Angulo,N. Angulo,M,Ecuador,5.5,1,0.5,0.4,0.5
Yassin Fortune,Y. Fortune,F,Haiti,4,1,1,0.1,0.5
Daizen Maeda,D. Maeda,F,Japan,6,1,1,1.5,0.5
Gedeon Kalulu,G. Kalulu,D,DR Congo,4,1,1,0.3,0.5
Ricardo Pepi,R. Pepi,F,USA,5.5,1,0.5,0.8,0.5
Youssef Amyn,Y. Amyn,M,Iraq,4,1,1,0.1,0.5
Igor Matanović,I. Matanović,F,Croatia,5.5,1,1,0.7,0.5
Mory Diaw,M. Diaw,G,Senegal,4,1,1,0.1,0.5
Pavel Šulc,P. Šulc,M,Czechia,5.5,1,0.5,0.5,0.5
Firas Chaouat,F. Chaouat,F,Tunisia,4.5,1,0.5,0.1,0.5
Mohanad Ali,M. Ali,F,Iraq,4,1,1,0.1,0.5
